OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Quantity,Price,City,State,Country,TotalAmount
1,2024-05-10,e6de78a4-d46c-4b5f-b94c-01de6a96a5f4,Brittany Miller,f58422ab-3ff6-46a8-9e2a-6720d3352155,thousand,Electronics,3,88,Marcusburgh,Tennessee,Czech Republic,264
2,2021-11-14,4b11c370-c690-4d28-af44-a41f9351ded7,Michelle Lara,f70dec00-c8d9-4734-8094-9d89d37ee32f,quite,Toys,6,7,Smithland,Maryland,Nauru,42
3,2023-08-17,ae0abb9b-88a6-4a4c-980f-87a0221c37d0,Heather Burns,8098df34-5fef-4589-9125-f3b677846461,charge,Electronics,9,26,Youngburgh,Nevada,Grenada,234
4,2023-06-22,6d9be25c-9261-4209-88ad-659c396f4619,Christopher Howe,694fcc2a-33e2-4998-819b-eb1799893fcf,thought,Home & Kitchen,9,61,Port Jessicaville,South Dakota,Paraguay,549
5,2022-05-29,adca8bd1-1851-45b3-87d2-bfffc0309511,Cody Griffin,0fe38350-a935-4738-acb2-fb4263f4e8c2,including,Home & Kitchen,5,46,Thomasport,Mississippi,Honduras,230
6,2020-08-22,6fcb1756-a2a9-471b-ae79-aaca03f9a2fa,Michael Benitez,f8cae51a-00b8-45d2-a217-0a3fed214749,memory,Clothing,10,90,East Rebeccaton,Oklahoma,Italy,900
7,2022-06-30,d5db0779-1161-4abd-b002-ec624d28d916,Brittany Hardy,5b65b435-fc5f-42a5-9157-4e54d38117f6,win,Toys,3,47,Johnstad,Virginia,Senegal,141
8,2023-12-03,40d8ee60-9e52-41d9-b23e-210c1e9ed05b,James Fisher,f01648ae-e0d9-43e1-ae87-ebbbf5e27c5e,friend,Toys,10,26,Priceside,Georgia,Cote d'Ivoire,260
9,2020-01-23,cfdf89c6-a7e8-41a5-ad80-c8ceebc585b6,Brittany Griffin,6468fceb-7dae-49e3-9963-4765de01df7d,ago,Electronics,1,23,Port Mark,Kentucky,China,23
10,2023-12-30,7a777974-e7e3-457a-9926-8ba9817a0857,Juan Diaz,6aa2c653-00ea-4fc3-beae-a97f90ad648d,street,Clothing,10,79,Port Tim,Kansas,Cambodia,790
11,2020-10-17,a4ea3e63-7687-4711-bc21-1210fc3e8951,Claudia West,e560579b-c00a-4aba-8e03-3219f7ac59eb,hair,Electronics,1,91,Richardfort,Idaho,Slovenia,91
12,2022-08-08,6d5c8956-50e4-40b7-9244-54107ad4cfa7,Derek Dorsey,a888e8cb-fd8c-42d3-bc25-5709d806270b,common,Books,10,40,Wadechester,South Carolina,Myanmar,400
13,2020-08-06,f29c0084-6dec-44e1-b935-43e225d268dc,Pamela Armstrong,81fb5b32-aa9d-4562-95b4-072aceae7e0b,culture,Books,7,57,South Cassandraview,Wisconsin,Philippines,399
14,2024-02-14,5c0a46bb-1903-47b5-ad99-71a87c414ffc,Ruth Craig,0f0d8956-2b8d-4470-99ba-0dc5c0d547ea,exactly,Books,7,84,Port Lisafort,Nevada,Ireland,588
15,2020-10-05,12ed4c3d-1e69-4d52-878e-7ba74069b0c1,Adam Allen,3e4fd277-da5b-488d-bd3c-931d661632c2,person,Toys,1,25,Williamtown,New Hampshire,Slovenia,25
16,2022-10-13,a24ae639-04ff-428e-beb5-6a642317b035,Maria Long,5b5488d0-343c-4eb2-adde-4bbef4d3b636,yard,Books,7,60,Farmerstad,New Mexico,Guyana,420
17,2021-06-03,a5a11b8b-d30a-47d6-a2d2-5db634cfe44b,Marcus Gregory,f03b25e6-7891-4389-82a0-d8361db4391c,laugh,Electronics,3,13,Angelmouth,Vermont,Bahamas,39
18,2023-07-20,25244bc0-1780-4c5c-b816-7ce08baa908d,Danny Juarez,13da7671-6a94-4c75-9a13-ec7e5fa35878,since,Clothing,4,44,New Melissa,Virginia,Djibouti,176
19,2023-03-26,64cfc908-337f-4abf-b9d5-3b699de29d49,Nicole Osborne,907e6a28-9cab-4283-aefa-fde69f2ca61b,seat,Toys,3,48,Isaiahbury,Utah,Pitcairn Islands,144
20,2024-02-02,a9ccdb73-5d8d-4c44-b239-28e51016abe4,Anne Williams,f3d74b53-e27f-4752-b031-e1a5a9c5bd86,take,Books,4,76,South Jeremyburgh,Oklahoma,United Kingdom,304
21,2021-02-15,2eefd559-db9d-4fab-833b-bc08baff269a,Cory Brown,402d3771-c565-473d-9e79-f15833b39081,weight,Clothing,4,78,East Brian,Mississippi,French Polynesia,312
22,2024-02-14,3c4cbd15-d157-4d06-b205-2f75a0bacbcf,Tara Bauer,73eccbc0-8583-435b-af1c-125dd57acdba,police,Toys,5,82,Richardport,Mississippi,Costa Rica,410
23,2020-06-14,64910b98-fcff-4e6e-95c6-e53bd8475318,Robert Peterson,b77b714a-3731-4ce8-a53c-09eb1d9ef29b,situation,Books,8,94,Moniqueside,South Dakota,Tonga,752
24,2024-02-11,5761daf9-4dd8-4e7c-a1fc-8a602c96ef1b,Shirley Miller,212ecebc-9e09-4e40-b142-23e9710ab67d,color,Books,2,34,North Thomas,South Carolina,Latvia,68
25,2024-01-04,99f52901-5d7a-4a5d-b7db-22e85ac79424,Kelsey Jones,78f1742e-b5de-47ab-bee8-07e76fa19f6a,list,Clothing,3,78,Carlaview,Kentucky,Trinidad and Tobago,234
26,2023-03-29,18d63f7e-0e86-4b64-8dcc-e735ef17ba38,Hannah Whitaker,a8eaff25-cfc1-49d1-bb52-037c9cab7ae4,pressure,Toys,3,30,Laurafort,Idaho,Niger,90
27,2024-04-06,a7523486-e403-4a35-bb82-1e3342a3cd50,Andrea Harris,18f514d7-6ff2-40d7-9f88-072465265688,structure,Clothing,4,9,Mcdonaldmouth,Alabama,French Guiana,36
28,2023-12-12,79cd5178-dbb3-4afc-a274-4e2752362857,Seth Johnson,55bfedee-2572-4854-8f2e-405c997627ce,professional,Home & Kitchen,10,5,East Tanya,South Dakota,Iran,50
29,2021-06-25,e3097b2b-9cac-469a-ad15-11dbf6feee09,Russell King,767f6b06-9a2b-4af7-9b3b-b3c20c8c198a,everybody,Toys,8,10,New Gregorytown,Washington,Israel,80
30,2021-01-29,1dfe3b5b-01d8-4f93-940d-9d90c014c23a,John Huerta,760b5f1f-6b11-4039-89c8-db0c07bb4d7a,happen,Electronics,5,69,Peggystad,South Dakota,Finland,345
31,2022-03-19,3d8e3ebe-275f-4cea-84e8-28b0d49e0add,Jaclyn Bates,743c65e8-4997-4f1c-9472-33d54e5a6f42,style,Home & Kitchen,4,73,New Francis,Nevada,Denmark,292
32,2020-12-04,5b230286-df9b-46d7-923a-53ba6d9f6879,Cheryl Johnston,3a87a209-194e-4503-bb26-940d56b14fa3,themselves,Clothing,2,35,New Renee,South Carolina,Netherlands,70
33,2020-11-10,5405d485-a773-44a5-9805-0364e0a91f61,Michael Black,7edb9b69-0d46-4c33-a29e-172ea7206b99,suffer,Electronics,10,46,Robertside,Wisconsin,Australia,460
34,2023-06-01,f5bd1f33-006e-4fe1-8434-5810764d5f6f,Jose Logan,e23423a9-4acf-4536-88af-2c5a00ed1f55,agree,Books,8,71,Martinfurt,Georgia,Syrian Arab Republic,568
35,2022-09-16,80c1e368-7ee2-466d-a4c3-3a25ef5f3729,Madison Church,3b5fccab-afd4-4c1a-931d-1d6a1050d250,light,Books,10,24,North Philipborough,Tennessee,Mauritania,240
36,2024-03-05,e0dd0d16-1575-4a42-bbff-e6bbb82bd5bf,Tara Francis,4aa99425-5f49-410d-8899-dc340e9b803f,window,Toys,3,63,Collinsville,Connecticut,Bolivia,189
37,2020-04-13,78e75b2c-4f13-4f34-9027-d3e538accfcf,Shannon Brewer,ae6db9ca-fc53-4a51-91db-f8d4513d427d,bring,Home & Kitchen,1,10,North Danny,Texas,Benin,10
38,2020-07-04,1d1a2f4e-00b9-4849-afd8-56b24fc60185,Kara Mathis,47bc421f-2d5b-480e-abf2-a2616cd071fc,break,Toys,5,39,Lake Katrinaview,New Hampshire,United States Minor Outlying Islands,195
39,2023-06-28,cffdbd07-1db9-4ce5-b661-ef60d85b99d6,Stephen Jenkins,12ca2270-4d26-4cdb-84e8-1ae78ba65f46,model,Toys,2,20,Jensenborough,Delaware,Niue,40
40,2023-05-03,4158c497-a623-40fc-a608-2d0cc0d8c050,Maria Chambers,11ad105c-bbb0-4c37-8119-b55dec65e31d,message,Electronics,10,25,Lake Christopherport,New Hampshire,Serbia,250
41,2021-04-29,6d611ea3-9173-4633-ba83-262b45d3a97a,Brenda Mclaughlin,985b4d88-1e77-475f-a340-b99ca7860495,figure,Electronics,9,73,Brownport,Alabama,Falkland Islands (Malvinas),657
42,2021-01-04,e6012906-9942-4de2-9c7d-41c1b313c066,Thomas Moss,e06d4376-a9c3-4a6c-b389-04057373ae26,sell,Electronics,6,98,East Isabellabury,Florida,Australia,588
43,2022-11-05,c2f718d9-68a1-4b55-a185-6e178b60aa44,Nancy Salinas,e6b06305-0887-45f2-a353-2d5e1c3700b8,letter,Home & Kitchen,4,5,Gilbertchester,New York,Cayman Islands,20
44,2023-06-08,5323add3-464e-488a-845c-999610ecf5a1,Sean Hunt,38628e0c-a68a-4aec-a26c-63bce6bdad76,nor,Toys,3,33,Johnsonborough,Georgia,Holy See (Vatican City State),99
45,2024-04-14,160feb95-e8bc-4b1d-ab65-628118babdee,Natalie Martinez,51726fd7-c3d9-42ff-9cf5-3212bd692d6e,happy,Home & Kitchen,3,97,Holtchester,Montana,Heard Island and McDonald Islands,291
46,2020-08-30,7e44c756-8e1f-4e1e-a1f6-dd474c9ed2c0,Angela Delgado,0e072098-3077-4761-ae75-636b715cd007,eat,Electronics,1,35,Barnetttown,Kentucky,Slovenia,35
